scenario_id,sampled_historical_slot,name_en,stochastic_net_bike_change_15min,stochastic_demand_15min,stochastic_return_15min
56,2026-05-21 01:50:00,6th,0,0,0
56,2026-05-21 01:50:00,7th,0,1,1
57,2026-05-20 13:20:00,1st,-1,1,0
57,2026-05-20 13:20:00,2nd,0,0,0
57,2026-05-20 13:20:00,3rd,-2,2,0
57,2026-05-20 13:20:00,4th,0,0,0
57,2026-05-20 13:20:00,5th,0,0,0
57,2026-05-20 13:20:00,6th,-1,1,0
57,2026-05-20 13:20:00,7th,0,0,0
58,2026-05-21 08:35:00,1st,0,1,1
58,2026-05-21 08:35:00,2nd,0,1,1
58,2026-05-21 08:35:00,3rd,0,0,0
58,2026-05-21 08:35:00,4th,0,0,0
58,2026-05-21 08:35:00,5th,0,0,0
58,2026-05-21 08:35:00,6th,0,0,0
58,2026-05-21 08:35:00,7th,0,0,0
59,2026-05-20 11:05:00,1st,1,5,6
59,2026-05-20 11:05:00,2nd,-1,1,0
59,2026-05-20 11:05:00,3rd,0,0,0
59,2026-05-20 11:05:00,4th,0,0,0
59,2026-05-20 11:05:00,5th,0,0,0
59,2026-05-20 11:05:00,6th,1,1,2
59,2026-05-20 11:05:00,7th,0,0,0
60,2026-05-20 23:05:00,1st,-1,3,2
60,2026-05-20 23:05:00,2nd,3,0,3
60,2026-05-20 23:05:00,3rd,-1,1,0
60,2026-05-20 23:05:00,4th,0,0,0
60,2026-05-20 23:05:00,5th,0,0,0
60,2026-05-20 23:05:00,6th,2,0,2
60,2026-05-20 23:05:00,7th,0,2,2
61,2026-05-20 20:20:00,1st,0,2,2
61,2026-05-20 20:20:00,2nd,0,0,0
61,2026-05-20 20:20:00,3rd,0,1,1
61,2026-05-20 20:20:00,4th,0,0,0
61,2026-05-20 20:20:00,5th,2,0,2
61,2026-05-20 20:20:00,6th,2,2,4
61,2026-05-20 20:20:00,7th,0,0,0
62,2026-05-21 08:35:00,1st,0,1,1
62,2026-05-21 08:35:00,2nd,0,1,1
62,2026-05-21 08:35:00,3rd,0,0,0
62,2026-05-21 08:35:00,4th,0,0,0
62,2026-05-21 08:35:00,5th,0,0,0
62,2026-05-21 08:35:00,6th,0,0,0
62,2026-05-21 08:35:00,7th,0,0,0
63,2026-05-20 23:05:00,1st,-1,3,2
63,2026-05-20 23:05:00,2nd,3,0,3
63,2026-05-20 23:05:00,3rd,-1,1,0
63,2026-05-20 23:05:00,4th,0,0,0
63,2026-05-20 23:05:00,5th,0,0,0
63,2026-05-20 23:05:00,6th,2,0,2
63,2026-05-20 23:05:00,7th,0,2,2
64,2026-05-21 06:50:00,1st,1,0,1
64,2026-05-21 06:50:00,2nd,0,0,0
64,2026-05-21 06:50:00,3rd,0,2,2
64,2026-05-21 06:50:00,4th,0,0,0
64,2026-05-21 06:50:00,5th,0,0,0
64,2026-05-21 06:50:00,6th,0,0,0
64,2026-05-21 06:50:00,7th,0,0,0
65,2026-05-20 18:50:00,1st,1,0,1
65,2026-05-20 18:50:00,2nd,0,1,1
65,2026-05-20 18:50:00,3rd,2,0,2
65,2026-05-20 18:50:00,4th,0,0,0
65,2026-05-20 18:50:00,5th,0,0,0
65,2026-05-20 18:50:00,6th,0,1,1
65,2026-05-20 18:50:00,7th,0,0,0
66,2026-05-20 12:20:00,1st,0,0,0
66,2026-05-20 12:20:00,2nd,-1,1,0
66,2026-05-20 12:20:00,3rd,0,0,0
66,2026-05-20 12:20:00,4th,1,0,1
66,2026-05-20 12:20:00,5th,0,0,0
66,2026-05-20 12:20:00,6th,1,1,2
66,2026-05-20 12:20:00,7th,0,0,0
67,2026-05-20 11:35:00,1st,2,2,4
67,2026-05-20 11:35:00,2nd,0,0,0
67,2026-05-20 11:35:00,3rd,0,2,2
67,2026-05-20 11:35:00,4th,0,0,0
67,2026-05-20 11:35:00,5th,0,0,0
67,2026-05-20 11:35:00,6th,1,0,1
67,2026-05-20 11:35:00,7th,-1,2,1
68,2026-05-21 06:50:00,1st,1,0,1
68,2026-05-21 06:50:00,2nd,0,0,0
68,2026-05-21 06:50:00,3rd,0,2,2
68,2026-05-21 06:50:00,4th,0,0,0
68,2026-05-21 06:50:00,5th,0,0,0
68,2026-05-21 06:50:00,6th,0,0,0
68,2026-05-21 06:50:00,7th,0,0,0
69,2026-05-20 11:50:00,1st,-2,2,0
69,2026-05-20 11:50:00,2nd,-1,1,0
69,2026-05-20 11:50:00,3rd,0,0,0
69,2026-05-20 11:50:00,4th,0,0,0
69,2026-05-20 11:50:00,5th,-1,1,0
69,2026-05-20 11:50:00,6th,-1,1,0
69,2026-05-20 11:50:00,7th,-1,1,0
70,2026-05-21 02:05:00,1st,0,0,0
70,2026-05-21 02:05:00,2nd,0,1,1
70,2026-05-21 02:05:00,3rd,0,0,0
70,2026-05-21 02:05:00,4th,0,0,0
70,2026-05-21 02:05:00,5th,0,0,0
70,2026-05-21 02:05:00,6th,0,0,0
70,2026-05-21 02:05:00,7th,0,0,0
71,2026-05-20 20:35:00,1st,0,0,0
71,2026-05-20 20:35:00,2nd,-1,1,0
71,2026-05-20 20:35:00,3rd,0,1,1
71,2026-05-20 20:35:00,4th,0,0,0
71,2026-05-20 20:35:00,5th,0,0,0
71,2026-05-20 20:35:00,6th,1,3,4
71,2026-05-20 20:35:00,7th,0,0,0
72,2026-05-20 13:50:00,1st,0,2,2
72,2026-05-20 13:50:00,2nd,-1,1,0
72,2026-05-20 13:50:00,3rd,0,0,0
72,2026-05-20 13:50:00,4th,0,0,0
72,2026-05-20 13:50:00,5th,0,0,0
72,2026-05-20 13:50:00,6th,1,3,4
72,2026-05-20 13:50:00,7th,3,0,3
73,2026-05-20 17:20:00,1st,-1,2,1
73,2026-05-20 17:20:00,2nd,0,0,0
73,2026-05-20 17:20:00,3rd,-1,1,0
73,2026-05-20 17:20:00,4th,0,0,0
73,2026-05-20 17:20:00,5th,0,0,0
73,2026-05-20 17:20:00,6th,0,0,0
73,2026-05-20 17:20:00,7th,1,1,2
74,2026-05-21 05:05:00,1st,1,1,2
74,2026-05-21 05:05:00,2nd,0,0,0
74,2026-05-21 05:05:00,3rd,-1,2,1
74,2026-05-21 05:05:00,4th,0,0,0
74,2026-05-21 05:05:00,5th,0,0,0
74,2026-05-21 05:05:00,6th,1,0,1
74,2026-05-21 05:05:00,7th,1,0,1
75,2026-05-20 18:35:00,1st,-4,6,2
75,2026-05-20 18:35:00,2nd,0,0,0
75,2026-05-20 18:35:00,3rd,0,0,0
75,2026-05-20 18:35:00,4th,0,0,0
75,2026-05-20 18:35:00,5th,0,0,0
75,2026-05-20 18:35:00,6th,0,0,0
75,2026-05-20 18:35:00,7th,0,0,0
76,2026-05-21 06:50:00,1st,1,0,1
76,2026-05-21 06:50:00,2nd,0,0,0
76,2026-05-21 06:50:00,3rd,0,2,2
76,2026-05-21 06:50:00,4th,0,0,0
76,2026-05-21 06:50:00,5th,0,0,0
76,2026-05-21 06:50:00,6th,0,0,0
76,2026-05-21 06:50:00,7th,0,0,0
77,2026-05-21 09:20:00,1st,2,0,2
77,2026-05-21 09:20:00,2nd,0,1,1
77,2026-05-21 09:20:00,3rd,0,0,0
77,2026-05-21 09:20:00,4th,0,0,0
77,2026-05-21 09:20:00,5th,0,0,0
77,2026-05-21 09:20:00,6th,0,0,0
77,2026-05-21 09:20:00,7th,0,0,0
78,2026-05-20 14:35:00,1st,-2,2,0
78,2026-05-20 14:35:00,2nd,0,1,1
78,2026-05-20 14:35:00,3rd,1,0,1
78,2026-05-20 14:35:00,4th,0,0,0
78,2026-05-20 14:35:00,5th,1,0,1
78,2026-05-20 14:35:00,6th,-1,2,1
78,2026-05-20 14:35:00,7th,1,0,1
79,2026-05-20 20:35:00,1st,0,0,0
79,2026-05-20 20:35:00,2nd,-1,1,0
79,2026-05-20 20:35:00,3rd,0,1,1
79,2026-05-20 20:35:00,4th,0,0,0
79,2026-05-20 20:35:00,5th,0,0,0
79,2026-05-20 20:35:00,6th,1,3,4
79,2026-05-20 20:35:00,7th,0,0,0
80,2026-05-20 20:35:00,1st,0,0,0
80,2026-05-20 20:35:00,2nd,-1,1,0
80,2026-05-20 20:35:00,3rd,0,1,1
80,2026-05-20 20:35:00,4th,0,0,0
80,2026-05-20 20:35:00,5th,0,0,0
80,2026-05-20 20:35:00,6th,1,3,4
80,2026-05-20 20:35:00,7th,0,0,0
